judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Strange Is the Song in Our Conversation;Monkey to Millionaire;2000s Indonesian Indie;10s8XK7vzEIfDP1fSIVzst;['indonesian indie'];"Walkin' on the edge of an empty pool We were talking 'bout somethin' That we saw it was cool We lower down our voices, we're holdin' our laughs Coz' the moon's standin' there without a noise  You're asking 'bout a boyfriend and girlfriend things Into our late night conversations You sounded like, you're so interested So I feel like I wanna share it with you  After few hours of the conversations You told me, you only sleep When there's someone singin' So I sing to you the song called ""Strange"" Then I heard no more words comin' out from you I heard no more words comin' out from you  (Uh-uh-uh, uh-uh-uh, uh-uh) Oh, ""Strange"" is the song in our conversations (Uh-uh-uh, uh-uh-uh, uh-uh) Oh, ""Strange"" is the song in our conversations  Couple of stories has already been told And few things about you has already been sold You're sound so quite, so I whisper to you ""Well, I guess that you have found your own world, yeah""  Couple of your stories has already been told ..."
Desember;Efek Rumah Kaca;2000s Indonesian Indie;0yyRL7Rxr4oJ6uI7DYe2OT;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];S'lalu ada yang bernyanyi dan berelegi Di balik awan hitam S'moga ada yang menerangi sisi gelap ini Menanti seperti p'langi Setia menunggu hujan reda  Aku selalu suka Sehabis hujan di bulan Desember Di bulan Desember  S'lalu ada yang bernyanyi dan berelegi ...
Senandung Maaf;White Shoes & The Couples Company;2000s Indonesian Indie;0dYebrX5uGJ5waQ2DmKcga;['indonesian indie', 'indonesian indie pop', 'indonesian psychedelia'];Senandungkan lagu ini Atas rindu di hati Berlutut di lantai bumi Bersedih, menyepi Toreh kisah, senandung kasih Maafkan, Tuan, aku berjanji  Tak mau menuai murka Untukmu, oh, kawan Berbisik di dalam hati Kumohon, maafkan  Berbagi peluh menuju cita Daku membasuh keringat duka  Du-du-du-du Du-du-du Du-du-du-du Du-du-du  ...
Matraman;The Upstairs;2000s Indonesian Indie;6mvnlHczAMdRctsgfbA4tY;['indonesian indie', 'indonesian post-punk'];Demi trotoar dan debu yang berterbangan Ku bersumpah Demi celurit, mistar dan batu terbang pelajar Ku ungkapkan  Atas nama orang-orang Berdatangan ke utara Kau kan ku jelang  ...
Amatir;The Upstairs;2000s Indonesian Indie;35dEJRoA7xbHI3enW7vIzD;['indonesian indie', 'indonesian post-punk'];Aroma kian semerbak Kurasa dia mendekat Kaki yang panjang berbalut bootcut Lihat dia berjalan Yang girang, senang Matanya menghujam  Kata meluncur deras Memb'lah dua fikiran Tidur di malam tiada nyenyak Paginya kelelahan Dan esok terulang Pada hari-hari yang 'kan datang  ...
Somos Libres;Sore;2000s Indonesian Indie;3sB9XDwKKVWTAwZiBYGee1;['indonesian folk pop', 'indonesian indie', 'indonesian indie pop'];Semua bisa bilang tak ada nafsu belaka Tak ada yang meragukan gilanya semata  Siapa pun merasa Nikmat yang kurasa Yang ada  Selagi kita berjuang meraih bahaya (pero) ...
Interval;Goodnight Electric;2000s Indonesian Indie;4f2VlNJQIp5jABQUFsLXCz;['indonesian indie'];If you want to say goodbye I'll keep my balance in waterfall If you want to set us free I'll keep the music in my car  If you want it (if you want it) If you want it If you need it (need it) If you need it Lets walk and through it And if you need it (need it) If you need it  If you want me to expel I'll be your lullaby tonight If you wanna leave me behind ...
I'm OK;Goodnight Electric;2000s Indonesian Indie;69xEITRbwTnRYEBGTdy3Kp;['indonesian indie'];Oh it's the time my baby For settling down and put our make up I think it's the right time We've been through all the rush hour  Oh it's our time my baby, we Set a moment to A query of not letting us down Just keep our promises and No saying goodbye  Just take some time for us To wake up and hanging about And keep our promises and ...
Laser Gun Electro Boy;Goodnight Electric;2000s Indonesian Indie;7iotoEHOJphMKxSJAS71Sy;['indonesian indie'];Electro boy electro boy With laser gun electro boy Electro boy don't you know I didn't do nothing electro boy  I was alone in my dark room And no one knows o electro boy Electro boy electro boy With laser gun and I was alone  Thinking of her all night long With the saddest song I only cry and felt so wrong When everything was gone  Was gone (was gone) Was gone (was gone) Was gone (was gone) O help me electro boy  ...
Am I Robot?;Goodnight Electric;2000s Indonesian Indie;3MMb2rRPEro62CcMrnGwhF;['indonesian indie'];Are you a robot? Hmm So tell me, who are you?  Everyday I swore to you To make it happen, it is true To be the light To see the love It's more than just Like we both do  At the first time you and I Broke the cage you let me trough You gave it all And so I did And till I fall You said that  You are robot Not a human Or you are robot Act like human ...
