judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Himalaya;MALIQ & D'Essentials;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/1VD0YmYzZHXh2OOZObYPSJ;['indonesian jazz', 'indonesian pop', 'indonesian reggae'];Coba khayalkan sejenak Sepuluh tahun nanti hidupmu Coba bayangkan sejenak Misalkan ada aku Yang menemani hari demi hari yang tak terhitung  Misalkan itu aku yang terakhir untukmu  Untuk itu 'kan kupersembahkan, Himalaya Bahkan akan aku taklukkan Tanpa cahaya di kegelapan Berbalutkan pelita hatimu ...
Why Did You Have to Go - EP Version;Elephant Kind;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0o5kr3VLvJI6zNeOKiaz0a;['indonesian folk', 'indonesian indie'];How far you wanna know How far you wanna go How far you made me smile You'll end up where you came The only thing I care How far you wanna know me?  I heard once in a while Some angels learn to fly Just let those feathers drop The way you let it stop The only thing I care How far you wanna know me? ...
Kau Pergi;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/6qMpBja8lsMA4tVcvDxarc;['lagu melayu'];Merindukanmu, sore gerimis Langit kelabu, ingin menangis Kau yang pergi entah ke mana Tinggalkan aku, pilu termangu  Tak bisa dihubungi Tak ada yang tahu Lenyap ditelan sendu ...
Jakarta Jakarta;Kunto Aji;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/751HNMtRAgsICFJ6jBB6xD;['indonesian indie', 'indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter'];Dalam hati aku selalu ingin beranjak pergi Kota yang sama yang membuatku tegak berdiri Hingar-bingar sudut jalan yang takkan pernah mati Kota yang sama yang membuatku merasa sepi  Jangan salahkan barisan panjang di pusat kota Kita bergegas mengejar mimpi-mimpi yang sama  Jakarta Jakarta dan kenangannya Berpacu memburu Impianku ...
Duniawi;rumahsakit;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/5lr9fSb6BKR7rkD2JNITg2;['indonesian indie', 'math rock'];Indahnya duniawi Menghanyutkan diriku ke dalam Impian gemilang Selalu kumiliki, kuraih  Yang pergi berlari dariku selamanya dunia Takkan mungkin menghentikan hati Mendamba indahnya angan Merasuki jiwa Terbayang jelita Mimpi yang kudamba ...
Menyakitimu;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/4ziJ2SfxDhGTQVZMe83Gfj;['lagu melayu'];Meleleh air matamu, semata rindu Bukan perih sayatan pisau pengkhianatanku Karena cahaya cintamu padaku Menerangi ruh dan sekujur jasadku  Sakitimu sesukaku di gelap hari Kausiapkan s'lalu maaf saat pagi yang bening Karena cahaya cintamu padaku Menerangi ruh dan sekujur tubuhmu  Oh, inikah (oh, inikah) ...
Hanya Kau;The Adams;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3UfR1fCPSLK4AXyl5QtKqN;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];'Ku berjalan tiada henti 'Tuk memastikan diri Mencari apa yang terbaik Di dalam hati ini  Tak peduli yang telah terjadi Tak pedulikan lagi Tanpa segala rasa ragu Di dalam hati ini  Hanya kau yang bisa Memastikan semua ...
Sesuatu Di Jogja;Adhitia Sofyan;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7;['indonesian folk', 'indonesian folk pop', 'indonesian indie', 'indonesian singer-songwriter'];Hey cantik Coba kau catat keretaku tiba pukul empat sore Tak usah kau tanya aku ceritakan nanti  Hey cantik Ke mana saja tak ada berita sedikit cerita Tak kubaca lagi pesan di ujung malam  Dan Jakarta muram kehilanganmu Terang lampu kota tak lagi sama Sudah saatnya kau tengok puing yang tertinggal Sampai kapan akan selalu berlari Hingga kini masih selalu kunanti-nanti  Terbawa lagi langkahku ke sana Mantra apa entah yang istimewa Kupercaya selalu ada sesuatu di Jogja ...
Timur;The Adams;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/2bEuh25NMtUEQGu6VqohPu;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Masa depan kadang menakutkan Penuh dengan ketidakpastian Lebih mudah jika tak dipikirkan  Kita bisa membuat rencana Untuk sekian tahun ke depan Tapi percuma jika selesai di tengah jalan  Namun tiap kudengar namamu Makin terbayang masa depanku Semakin jelas tujuan Dan yang 'ku harus lakukan  Saat aku dan kamu bicara Tentang harapan dan cita-cita ...
cigarettes of ours;Ardhito Pramono;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/77SiKnkNEnRw0uoPE4wuEp;['indonesian indie', 'indonesian jazz', 'indonesian pop', 'jazz pop'];I'm sitting by the door And ready to explore The feelings I have when you passed that store Watch you look older Sitting down with cigarettes of ours  Watch you given all your money For such a precious story My life is treated usual good then goodbye To our memories Sitting down with cigarettes of ours  Take it easy for a little while You know he did everything good so far ...
Cinta Bersahaja;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/4OgZcce8faptWiLHAbLany;['lagu melayu'];Ku mencintaimu secara bersahaja Hanya sedikit hadiah dan puji-puja Ku merindukanmu secara sewajarnya Di sela hiruk-pikuk, tanpa jeda  ...
Kuning;rumahsakit;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/6hq8w9e1cj0nxe0YwW3IVJ;['indonesian indie', 'math rock'];Halusnya awan Menyatu dan menghalang Namun kau pun hanya bisu Tetap sinariku dengan cahaya kuningmu  Bagai berputar Jauh sudah terasa Namun jarak yang kutempuh Tak membuatku lebih dekat lagi denganmu  ...
Wish You Were Here;Endah N Rhesa;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/6UZL8ibn0YggrPz5lhqERT;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];I always be here Waiting for you come in back home I keep our flowers grow Since we planted the seed many years ago  And I stare at the moon Hope we'll meet there Hope we'll meet there 'Cause I miss you I wish you were here  I know it's hard ...
